company,website,status,ats_type,careers_url,roles_found,error
Kinetik Automotive,https://kinetikautomotive.com,scraped_structured,,https://kinetikautomotive.com/jobs/,3,
Machine Tool Technologies,https://mtt.uk.com,scraped_structured,,https://mtt.uk.com/careers/,4,
Alloyed,https://alloyed.com,scraped_structured,,https://careers.alloyed.com,9,
Makin Metal Powders (Uk) Limited,https://makin-metals.com,scraped_structured,,https://www.makin-metals.com/jobs/,2,
Fraunhofer Heinrich Hertz Institute HHI,https://hhi.fraunhofer.de,scraped_structured,,https://hhi.fraunhofer.de/jobs-und-karriere.html,2,
Onkos Surgical,https://onkossurgical.com,scraped_structured,,https://onkossurgical.com/work-with-us/,1,
Graphite Additive Manufacturing Limited,https://graphite-am.co.uk,scraped_structured,,https://graphite-am.co.uk/careers/,1,
3M Buckley Innovation Centre,https://3mbic.com,scraped_structured,,https://3mbic.com/careers/,4,
Irish Manufacturing Research,https://imr.ie,scraped_structured,,https://imr.ie/about/#careers,2,
Centre for Additive Manufacturing (CfAM),https://nottingham.ac.uk,scraped_structured,,https://www.nottingham.ac.uk/jobs/home.aspx,24,
Sonovision UK - Ortec Group,https://sonovisiongroup.com,scraped_structured,,https://sonovisiongroup.com/about/careers/,2,
Inert Corporation,https://inertcorp.com,scraped_structured,,https://www.inertcorp.com/career-at-inert/,2,
Crispin,https://crispinorthotics.com,scraped_structured,,https://www.crispinorthotics.com/careers/,3,
Envisage Group Limited,https://envisagegroupltd.com,scraped_structured,,https://www.envisagegroupltd.com/careers/,1,
M5tec Limited,https://m5tec.com,scraped_structured,,https://m5tec.com/careers/,1,
ValCUN,https://valcun.be,scraped_structured,,https://www.valcun.be/molten-metal-deposition-is-the-best-am-technology-for-aluminium/,1,
msolv,https://msolv.com,scraped_text_only,,https://msolv.com/careers/,0,
KOSO Kent Introl,https://kentintrol.com,scraped_text_only,,https://kentintrol.com/instruments/valve-positioner/,0,
Filtermist Limited,https://filtermist.co.uk,scraped_text_only,,https://filtermist.co.uk/careers-at-filtermist/,0,
3D Systems Corporation,https://3dsystems.com,scraped_text_only,,https://3dsystems.com/careers,0,
OGM: Plastic Injection Moulder and Contract Manufacturer,https://ogm.uk.com,scraped_text_only,,https://ogm.uk.com/vacancies/,0,
Novanta,https://novanta.com,scraped_text_only,,https://novanta.com/careers-culture/,0,
